variant,type,n_feats,overall_R2,overall_RMSE,pm1_R2,pm1_RMSE,pm2_5_R2,pm2_5_RMSE,pm10_R2,pm10_RMSE,co2_R2,co2_RMSE,voc_R2,voc_RMSE
Full (all features),modality,68,0.9886,74.7343,0.8098,1.027,0.8332,1.5761,0.8344,2.268,0.8693,155.9507,0.7731,59.9729
No PM lags/diff/roll,modality,54,0.9774,105.2931,0.6406,1.412,0.7119,2.0712,0.6406,3.3416,0.7283,224.8584,0.6937,69.6741
No trigger features,modality,60,0.9933,57.1279,0.8541,0.8996,0.8757,1.3605,0.8775,1.9509,0.9205,121.622,0.9041,38.9824
No CO₂ lags/roll,modality,64,0.9878,77.2251,0.8375,0.9493,0.8589,1.4495,0.831,2.2917,0.853,165.3882,0.845,49.5693
Sensor history only,modality,7,0.9591,141.478,0.7501,1.1772,0.7562,1.9053,0.7933,2.5343,0.5012,304.6963,0.544,85.0224
Trigger signals only,modality,8,0.9267,189.5081,0.4055,1.8159,0.3978,2.9946,0.4475,4.1432,0.0936,410.7087,0.3152,104.1895
Lead_T+1min,lead_time,68,0.9972,38.0634,0.9224,0.7117,0.9566,0.8685,0.9452,1.4053,0.9684,80.5949,0.9527,27.3006
Lead_T+3min,lead_time,68,0.9966,42.1018,0.9333,0.6475,0.9412,0.9941,0.9401,1.4499,0.9609,88.7254,0.9374,31.4185
Lead_T+5min,lead_time,68,0.9953,48.6502,0.919,0.7042,0.9192,1.1494,0.9087,1.7693,0.9449,103.945,0.9351,32.0109
Lead_T+10min,lead_time,68,0.9899,70.2935,0.8384,0.9467,0.8744,1.3678,0.8597,2.0875,0.8773,151.1246,0.8827,43.129
Lead_T+15min,lead_time,68,0.986,81.2026,0.764,1.0942,0.7897,1.6971,0.7954,2.4043,0.8484,162.9917,0.5979,79.9571
Lead_T+20min,lead_time,68,0.9841,84.8896,0.7169,1.1292,0.7502,1.7333,0.7736,2.3898,0.8166,173.3921,0.6262,77.1779
