ct_feature,pollutant,best_lag_min,max_abs_corr,granger_best_lag,granger_min_pvalue
door_open_sum,pm1,10,0.3999,,
door_open_sum,pm2_5,10,0.4244,,
door_open_sum,pm10,10,0.4626,,
door_open_sum,co2,10,0.2536,,
door_open_sum,voc,10,0.1853,,
mu_motion,pm1,10,0.4271,,
mu_motion,pm2_5,10,0.4541,,
mu_motion,pm10,10,0.4837,,
mu_motion,co2,0,0.1755,,
mu_motion,voc,10,0.3958,,
M1_rho_open,pm1,10,0.3264,,
M1_rho_open,pm2_5,10,0.3514,,
M1_rho_open,pm10,10,0.3842,,
M1_rho_open,co2,0,0.1965,,
M1_rho_open,voc,0,-0.0976,,
M2_rho_open,pm1,10,0.1659,,
M2_rho_open,pm2_5,10,0.167,,
M2_rho_open,pm10,10,0.1805,,
M2_rho_open,co2,8,0.0384,,
M2_rho_open,voc,0,0.3507,,
M3_rho_open,pm1,10,0.3119,,
M3_rho_open,pm2_5,10,0.3312,,
M3_rho_open,pm10,10,0.3649,,
M3_rho_open,co2,10,0.3106,,
M3_rho_open,voc,1,-0.0455,,
