model,target,threshold,variant,n_actual_events,n_pred_alerts,TP,FP,FN,precision,recall,mean_lead_min
BiGRU,pm2_5,35.0,with_Ct,4,1,0,1,4,0.0,0.0,
BiGRU,pm2_5,35.0,without_Ct,4,4,2,2,2,0.5,0.5,6.5
BiGRU,co2,2000.0,with_Ct,3,1,0,1,3,0.0,0.0,
BiGRU,co2,2000.0,without_Ct,3,2,0,2,3,0.0,0.0,
BiLSTM,pm2_5,35.0,with_Ct,4,4,2,2,2,0.5,0.5,9.5
BiLSTM,pm2_5,35.0,without_Ct,4,2,0,2,4,0.0,0.0,
BiLSTM,co2,2000.0,with_Ct,3,2,1,1,2,0.5,0.3333333333333333,9.0
BiLSTM,co2,2000.0,without_Ct,3,2,0,2,3,0.0,0.0,
GRU,pm2_5,35.0,with_Ct,4,2,1,1,3,0.5,0.25,9.0
GRU,pm2_5,35.0,without_Ct,4,3,1,2,3,0.3333333333333333,0.25,7.0
GRU,co2,2000.0,with_Ct,3,2,1,1,2,0.5,0.3333333333333333,8.0
GRU,co2,2000.0,without_Ct,3,2,0,2,3,0.0,0.0,
LSTM_uni,pm2_5,35.0,with_Ct,4,8,3,5,1,0.375,0.75,3.0
LSTM_uni,pm2_5,35.0,without_Ct,4,3,0,3,4,0.0,0.0,
LSTM_uni,co2,2000.0,with_Ct,3,4,1,3,2,0.25,0.3333333333333333,8.0
LSTM_uni,co2,2000.0,without_Ct,3,4,0,4,3,0.0,0.0,
VanillaRNN,pm2_5,35.0,with_Ct,4,15,4,11,0,0.2666666666666666,1.0,6.5
VanillaRNN,pm2_5,35.0,without_Ct,4,10,1,9,3,0.1,0.25,5.0
VanillaRNN,co2,2000.0,with_Ct,3,5,0,5,3,0.0,0.0,
VanillaRNN,co2,2000.0,without_Ct,3,6,0,6,3,0.0,0.0,
Seq2Seq,pm2_5,35.0,with_Ct,4,4,2,2,2,0.5,0.5,7.0
Seq2Seq,pm2_5,35.0,without_Ct,4,3,1,2,3,0.3333333333333333,0.25,10.0
Seq2Seq,co2,2000.0,with_Ct,3,4,1,3,2,0.25,0.3333333333333333,10.0
Seq2Seq,co2,2000.0,without_Ct,3,2,0,2,3,0.0,0.0,
CNN_LSTM,pm2_5,35.0,with_Ct,4,1,1,0,3,1.0,0.25,4.0
CNN_LSTM,pm2_5,35.0,without_Ct,4,1,0,1,4,0.0,0.0,
CNN_LSTM,co2,2000.0,with_Ct,3,0,0,0,3,,0.0,
CNN_LSTM,co2,2000.0,without_Ct,3,1,0,1,3,0.0,0.0,
BiLSTM,voc,100.0,with_Ct,6,3,3,0,3,1.0,0.5,10.3333
BiLSTM,voc,100.0,without_Ct,6,3,2,1,4,0.6667,0.3333,7.5
Seq2Seq,voc,100.0,with_Ct,6,4,2,2,4,0.5,0.3333,11.0
Seq2Seq,voc,100.0,without_Ct,6,5,2,3,4,0.4,0.3333,20.0
GRU,voc,100.0,with_Ct,6,3,3,0,3,1.0,0.5,8.0
GRU,voc,100.0,without_Ct,6,4,3,1,3,0.75,0.5,15.3333
LSTM_uni,voc,100.0,with_Ct,6,9,6,3,0,0.6667,1.0,17.6667
LSTM_uni,voc,100.0,without_Ct,6,5,2,3,4,0.4,0.3333,9.0
VanillaRNN,voc,100.0,with_Ct,6,22,5,17,1,0.2273,0.8333,20.2
VanillaRNN,voc,100.0,without_Ct,6,15,3,12,3,0.2,0.5,26.0
CNN_LSTM,voc,100.0,with_Ct,6,1,0,1,6,0.0,0.0,
CNN_LSTM,voc,100.0,without_Ct,6,3,2,1,4,0.6667,0.3333,7.5
BiGRU,voc,100.0,with_Ct,6,3,2,1,4,0.6667,0.3333,13.5
BiGRU,voc,100.0,without_Ct,6,2,2,0,4,1.0,0.3333,2.0
